学校名称,学校ID号
廊坊职业技术学院,730
河北机电职业技术学院,731
黑龙江旅游职业技术学院,732
黑龙江能源职业学院,733
黑龙江民族职业学院,734
黑龙江农垦职业学院,737
黑龙江农业工程职业学院,738
黑龙江农业职业技术学院,739
黑龙江三江美术职业学院,740
黑龙江商业职业学院,741
黑龙江生态工程职业学院,742
唐山科技职业技术学院,744
石家庄邮电职业技术学院,746
河北公安警察职业学院,747
河北外国语学院,748
石家庄工程职业学院,750
石家庄工商职业学院,751
石家庄信息工程职业学院,753
石家庄财经职业学院,754
河北建材职业技术学院,756
河北政法职业学院,757
黑龙江司法警官职业学院,759
黑龙江艺术职业学院,762
哈尔滨信息工程学院,763
黑龙江农业经济职业学院,764
黑龙江工业学院,765
牡丹江大学,766
齐齐哈尔工程学院,767
伊春职业学院,768
成都工业学院,769
成都东软学院,770
成都航空职业技术学院,771
成都农业科技职业学院,772
成都艺术职业大学,773
成都职业技术学院,774
泸州职业技术学院,775
乐山职业技术学院,776
眉山职业技术学院,777
绵阳职业技术学院,778
四川电力职业技术学院,779
四川工商职业技术学院,780
四川国际标榜职业学院,781
四川旅游学院,782
民办四川天一学院,783
四川民族学院,784
阿坝师范学院,785
辽宁工程技术大学,786
南通大学,787
四川托普信息技术职业学院,788
四川职业技术学院,789
雅安职业技术学院,790
达州职业技术学院,791
广安职业技术学院,792
四川建筑职业技术学院,793
南充职业技术学院,794
四川工程职业技术大学,795
四川航天职业技术学院,796
四川化工职业技术学院,797
四川文理学院,798
四川机电职业技术学院,799
四川交通职业技术学院,800
四川工业科技学院,801
四川水利职业技术学院,802
四川司法警官职业学院,803
四川信息职业技术学院,804
四川邮电职业技术学院,805
襄阳职业技术学院,806
鄂州职业大学,808
湖北职业技术学院,810
湖北中医药高等专科学校,811
黄冈职业技术学院,812
武汉商学院,815
武汉职业技术学院,816
汉江师范学院,817
北京电子科技职业学院,818
首都师范大学科德学院,819
北京培黎职业学院,820
北京科技职业学院,821
吉利学院,822
北京汇佳职业学院,823
北京经贸职业学院,824
北京科技经营管理学院,825
中国地质大学（北京）,830
华北电力大学,831
中国石油大学（北京）,832
河南师范大学,833
安阳工学院,834
天津医学高等专科学校,835
天津电子信息职业技术学院,836
天津滨海职业学院,837
天津渤海职业技术学院,838
天津轻工职业技术学院,839
天津公安警官职业学院,840
天津机电职业技术学院,841
天津现代职业技术学院,845
天津市职业大学,846
天津交通职业学院,847
天津工业职业学院,848
天津工艺美术职业学院,849
天津城市职业学院,851
天津石油职业技术学院,852
南阳理工学院,853
天津国土资源和房屋职业学院,854
天津商务职业学院,855
天津艺术职业学院,857
天津中德应用技术大学,858
天津铁道职业技术学院,859
通辽职业学院,861
西安外事学院,862
西安思源学院,863
北京体育大学,866
南昌工程学院,867
南昌理工学院,868
江西科技学院,869
江西中医药高等专科学校,870
江西卫生职业学院,871
豫章师范学院,872
河南中医药大学,873
江西警察学院,874
首都经济贸易大学,875
信阳师范大学,876
安阳师范学院,878
北京信息科技大学,879
平顶山学院,880
北京青年政治学院,881
北京信息职业技术学院,882
河南科技学院,883
黄淮学院,884
北京工业职业技术学院,885
郑州警察学院,886
北京经济技术职业学院,887
萍乡学院,888
景德镇学院,889
漯河医学高等专科学校,890
新余学院,891
九江职业技术学院,893
河南工学院,894
江西工业职业技术学院,895
九江职业大学,896
北京政法职业学院,897
北京财贸职业学院,899
江西工业贸易职业技术学院,900
郑州电力高等专科学校,902
江西现代职业技术学院,904
北京京北职业技术学院,907
宜春职业技术学院,908
南昌职业大学,909
北京交通职业技术学院,910
北京戏曲艺术职业学院,911
北京北大方正软件职业技术学院,912
江西交通职业技术学院,913
抚州职业技术学院,914
武汉民政职业学院,915
江西应用工程职业学院,917
北京农业职业学院,918
山西中医药大学,919
运城学院,920
晋中学院,921
江西工程职业学院,922
江西科技职业学院,923
江西生物科技职业学院,925
江西外语外贸职业学院,926
江西司法警官职业学院,927
江西应用科技学院,928
西昌学院,929
江西电力职业技术学院,931
攀枝花学院,932
炎黄职业技术学院,933
西南大学,934
贵州大学,935
海军军医大学,936
中国人民解放军空军军医大学,937
中国人民解放军国防科技大学,939
江西旅游商贸职业学院,940
江西农业工程职业学院,941
江西青年职业学院,942
江西机电职业技术学院,943
江西陶瓷工艺美术职业技术学院,944
江西制造职业技术学院,946
上饶职业技术学院,947
江西应用技术职业学院,948
江西财经职业学院,949
江西艺术职业学院,950
赣西科技职业学院,951
江西飞行学院,952
江西航空职业技术学院,953
鹰潭职业技术学院,954
江西建设职业技术学院,955
江西工业工程职业技术学院,956
江西工程学院,957
江西信息应用职业技术学院,958
江西环境工程职业学院,959
南方医科大学,960
肇庆学院,961
广东警官学院,963
广东技术师范大学,964
广东培正学院,965
广东白云学院,966
广州航海学院,967
肇庆医学高等专科学校,968
广东农工商职业技术学院,970
佛山职业技术学院,971
广东松山职业技术学院,972
广东新安职业技术学院,973
顺德职业技术学院,974
潮汕职业技术学院,975
广东工商职业技术大学,976
广东理工学院,977
广州华南商贸职业学院,978
广州体育职业技术学院,979
广东司法警官职业学院,980
广州城市职业学院,981
广东邮电职业技术学院,983
清远职业技术学院,984
深圳信息职业技术学院,985
珠海城市职业技术学院,987
江门职业技术学院,988
惠州经济职业技术学院,989
广州华立科技职业学院,990
广东工程职业技术学院,991
广东理工职业学院,992
河源职业技术学院,993
阳江职业技术学院,994
广东岭南职业技术学院,995
广东女子职业技术学院,997
汕尾职业技术学院,998
广州现代信息工程职业技术学院,999
广州科技职业技术大学,1000
广州涉外经济职业技术学院,1001
广东科学技术职业学院,1002
广东行政职业学院,1004
广州康大职业技术学院,1005
中国矿业大学（北京）,1006
武汉科技大学,1007
长江工程职业技术学院,1008
重庆科技大学,1009
上海商学院,1010
